"","data2.District.Name","data2.School.Name","data2.Population","data2.Disaggregated","data2.Assessment","data2.Achievement.Level"
"76600","Lewiston Public Schools","Raymond A. Geiger Elementary School","Female","Sex","Science","Below State Expectations"
"76601","Lewiston Public Schools","Raymond A. Geiger Elementary School","English Learners (Monitoring)","Other","Science","Below State Expectations"
"76602","Lewiston Public Schools","Raymond A. Geiger Elementary School","Male","Sex","Science","Below State Expectations"
"76603","Lewiston Public Schools","Raymond A. Geiger Elementary School","English Learners","Other","Science","Below State Expectations"
"76604","Lewiston Public Schools","Raymond A. Geiger Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Science","Below State Expectations"
"76605","Lewiston Public Schools","Raymond A. Geiger Elementary School","Students with Disabilities","Other","Science","Below State Expectations"
"76606","Lewiston Public Schools","Raymond A. Geiger Elementary School","Economically Disadvantaged","Other","Science","At State Expectations"
"76607","Lewiston Public Schools","Raymond A. Geiger Elementary School","Black or African American","Racial/Ethnic Diversity","Science","At State Expectations"
"76608","Lewiston Public Schools","Raymond A. Geiger Elementary School","All Students","All Students","Science","At State Expectations"
"76609","Lewiston Public Schools","Raymond A. Geiger Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","Science","At State Expectations"
"76610","Lewiston Public Schools","Raymond A. Geiger Elementary School","Students in Foster Care","Other","Science","At State Expectations"
"76611","Lewiston Public Schools","Raymond A. Geiger Elementary School","White","Racial/Ethnic Diversity","Science","At State Expectations"
"76738","Lewiston Public Schools","Raymond A. Geiger Elementary School","Homeless","Other","Science","At State Expectations"
"76739","Lewiston Public Schools","Raymond A. Geiger Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Science","At State Expectations"
"76740","Lewiston Public Schools","Raymond A. Geiger Elementary School","Two or More Races","Racial/Ethnic Diversity","Science","At State Expectations"
"76741","Lewiston Public Schools","Raymond A. Geiger Elementary School","Female","Sex","Science","At State Expectations"
"76742","Lewiston Public Schools","Raymond A. Geiger Elementary School","English Learners (Monitoring)","Other","Science","At State Expectations"
"76743","Lewiston Public Schools","Raymond A. Geiger Elementary School","Male","Sex","Science","At State Expectations"
"76744","Lewiston Public Schools","Raymond A. Geiger Elementary School","English Learners","Other","Science","At State Expectations"
"76745","Lewiston Public Schools","Raymond A. Geiger Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Science","At State Expectations"
"76746","Lewiston Public Schools","Raymond A. Geiger Elementary School","Students with Disabilities","Other","Science","At State Expectations"
"76747","Lewiston Public Schools","Raymond A. Geiger Elementary School","Economically Disadvantaged","Other","Science","Above State Expectations"
"76748","Lewiston Public Schools","Raymond A. Geiger Elementary School","Black or African American","Racial/Ethnic Diversity","Science","Above State Expectations"
"76749","Lewiston Public Schools","Raymond A. Geiger Elementary School","All Students","All Students","Science","Above State Expectations"
"76750","Lewiston Public Schools","Raymond A. Geiger Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","Science","Above State Expectations"
"76751","Lewiston Public Schools","Raymond A. Geiger Elementary School","Students in Foster Care","Other","Science","Above State Expectations"
"76752","Lewiston Public Schools","Raymond A. Geiger Elementary School","White","Racial/Ethnic Diversity","Science","Above State Expectations"
"76753","Lewiston Public Schools","Raymond A. Geiger Elementary School","Homeless","Other","Science","Above State Expectations"
"76754","Lewiston Public Schools","Raymond A. Geiger Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Science","Above State Expectations"
"76755","Lewiston Public Schools","Raymond A. Geiger Elementary School","Two or More Races","Racial/Ethnic Diversity","Science","Above State Expectations"
"76756","Lewiston Public Schools","Raymond A. Geiger Elementary School","Female","Sex","Science","Above State Expectations"
"76757","Lewiston Public Schools","Raymond A. Geiger Elementary School","English Learners (Monitoring)","Other","Science","Above State Expectations"
"76758","Lewiston Public Schools","Raymond A. Geiger Elementary School","Male","Sex","Science","Above State Expectations"
"76759","Lewiston Public Schools","Raymond A. Geiger Elementary School","English Learners","Other","Science","Above State Expectations"
"76760","Lewiston Public Schools","Raymond A. Geiger Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Science","Above State Expectations"
"76761","Lewiston Public Schools","Raymond A. Geiger Elementary School","Students with Disabilities","Other","Science","Above State Expectations"
"76762","Lewiston Public Schools","Raymond A. Geiger Elementary School","Economically Disadvantaged","Other","Science","At or Above State Expectations"
"76763","Lewiston Public Schools","Raymond A. Geiger Elementary School","Black or African American","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"76764","Lewiston Public Schools","Raymond A. Geiger Elementary School","All Students","All Students","Science","At or Above State Expectations"
"76765","Lewiston Public Schools","Raymond A. Geiger Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"76923","Lewiston Public Schools","Raymond A. Geiger Elementary School","Students in Foster Care","Other","Science","At or Above State Expectations"
"76924","Lewiston Public Schools","Raymond A. Geiger Elementary School","White","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"76925","Lewiston Public Schools","Raymond A. Geiger Elementary School","Homeless","Other","Science","At or Above State Expectations"
"76926","Lewiston Public Schools","Raymond A. Geiger Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"76927","Lewiston Public Schools","Raymond A. Geiger Elementary School","Two or More Races","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"76928","Lewiston Public Schools","Raymond A. Geiger Elementary School","Female","Sex","Science","At or Above State Expectations"
"76929","Lewiston Public Schools","Raymond A. Geiger Elementary School","English Learners (Monitoring)","Other","Science","At or Above State Expectations"
"76930","Lewiston Public Schools","Raymond A. Geiger Elementary School","Male","Sex","Science","At or Above State Expectations"
"76931","Lewiston Public Schools","Raymond A. Geiger Elementary School","English Learners","Other","Science","At or Above State Expectations"
"76932","Lewiston Public Schools","Raymond A. Geiger Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Science","At or Above State Expectations"
"76933","Lewiston Public Schools","Raymond A. Geiger Elementary School","Students with Disabilities","Other","Science","At or Above State Expectations"
"76934","Lewiston Public Schools","Raymond A. Geiger Elementary School","Economically Disadvantaged","Other","Science","Below or Well Below State Expectations"
"76935","Lewiston Public Schools","Raymond A. Geiger Elementary School","Black or African American","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"76936","Lewiston Public Schools","Raymond A. Geiger Elementary School","All Students","All Students","Science","Below or Well Below State Expectations"
"76937","Lewiston Public Schools","Raymond A. Geiger Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"76938","Lewiston Public Schools","Raymond A. Geiger Elementary School","Students in Foster Care","Other","Science","Below or Well Below State Expectations"
"76939","Lewiston Public Schools","Raymond A. Geiger Elementary School","White","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"76940","Lewiston Public Schools","Raymond A. Geiger Elementary School","Homeless","Other","Science","Below or Well Below State Expectations"
"76941","Lewiston Public Schools","Raymond A. Geiger Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"76942","Lewiston Public Schools","Raymond A. Geiger Elementary School","Two or More Races","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"76943","Lewiston Public Schools","Raymond A. Geiger Elementary School","Female","Sex","Science","Below or Well Below State Expectations"
"76944","Lewiston Public Schools","Raymond A. Geiger Elementary School","English Learners (Monitoring)","Other","Science","Below or Well Below State Expectations"
"76945","Lewiston Public Schools","Raymond A. Geiger Elementary School","Male","Sex","Science","Below or Well Below State Expectations"
"76946","Lewiston Public Schools","Raymond A. Geiger Elementary School","English Learners","Other","Science","Below or Well Below State Expectations"
"76947","Lewiston Public Schools","Raymond A. Geiger Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"76948","Lewiston Public Schools","Raymond A. Geiger Elementary School","Students with Disabilities","Other","Science","Below or Well Below State Expectations"
"213355","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","Well Below State Expectations"
"213356","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"213357","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","Well Below State Expectations"
"213358","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"213359","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"213480","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","Well Below State Expectations"
"213481","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"213482","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"213483","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","Well Below State Expectations"
"213484","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","Well Below State Expectations"
"213485","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","Well Below State Expectations"
"213486","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","Well Below State Expectations"
"213487","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"213488","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","Well Below State Expectations"
"213489","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","Below State Expectations"
"213490","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"213491","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","Below State Expectations"
"213492","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"213493","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"213494","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","Below State Expectations"
"213495","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"213496","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"213497","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","Below State Expectations"
"213498","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","Below State Expectations"
"213499","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","Below State Expectations"
"213500","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","Below State Expectations"
"213501","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"213502","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","Below State Expectations"
"213503","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","At State Expectations"
"213504","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"213505","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","At State Expectations"
"213616","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"213617","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"213618","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","At State Expectations"
"213619","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"213620","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"213621","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","At State Expectations"
"213622","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","At State Expectations"
"213623","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","At State Expectations"
"213624","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","At State Expectations"
"213625","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"213626","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","At State Expectations"
"213627","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","Above State Expectations"
"213628","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"213629","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","Above State Expectations"
"213630","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"213631","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"213632","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","Above State Expectations"
"213633","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"213634","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"213635","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","Above State Expectations"
"213636","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","Above State Expectations"
"213637","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","Above State Expectations"
"213638","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","Above State Expectations"
"213639","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"213640","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","Above State Expectations"
"213641","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","At or Above State Expectations"
"213642","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"213643","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","At or Above State Expectations"
"213761","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"213762","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"213763","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","At or Above State Expectations"
"213764","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"213765","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"213766","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","At or Above State Expectations"
"213767","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","At or Above State Expectations"
"213768","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","At or Above State Expectations"
"213769","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","At or Above State Expectations"
"213770","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
"213771","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","At or Above State Expectations"
"213772","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","Below or Well Below State Expectations"
"213773","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"213774","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","Below or Well Below State Expectations"
"213775","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"213776","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"213777","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","Below or Well Below State Expectations"
"213778","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"213779","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"213780","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","Below or Well Below State Expectations"
"213781","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","Below or Well Below State Expectations"
"213782","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","Below or Well Below State Expectations"
"213783","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","Below or Well Below State Expectations"
"213784","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","Below or Well Below State Expectations"
"213785","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","Below or Well Below State Expectations"
"213786","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","English Language Arts","Well Below State Expectations"
"213787","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"213788","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","English Language Arts","Well Below State Expectations"
"213913","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"213914","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"213915","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","English Language Arts","Well Below State Expectations"
"213916","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"213917","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"213918","Lewiston Public Schools","Farwell Elementary School","Female","Sex","English Language Arts","Well Below State Expectations"
"213919","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","English Language Arts","Well Below State Expectations"
"213920","Lewiston Public Schools","Farwell Elementary School","Male","Sex","English Language Arts","Well Below State Expectations"
"213921","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","English Language Arts","Well Below State Expectations"
"213922","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","English Language Arts","Well Below State Expectations"
"213923","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","English Language Arts","Well Below State Expectations"
"213924","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","English Language Arts","Below State Expectations"
"213925","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"213926","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","English Language Arts","Below State Expectations"
"213927","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"213928","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"213929","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","English Language Arts","Below State Expectations"
"213930","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"213931","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"213932","Lewiston Public Schools","Farwell Elementary School","Female","Sex","English Language Arts","Below State Expectations"
"213933","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","English Language Arts","Below State Expectations"
"213934","Lewiston Public Schools","Farwell Elementary School","Male","Sex","English Language Arts","Below State Expectations"
"213935","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","English Language Arts","Below State Expectations"
"213936","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","English Language Arts","Below State Expectations"
"213937","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","English Language Arts","Below State Expectations"
"214063","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","English Language Arts","At State Expectations"
"214064","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"214065","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","English Language Arts","At State Expectations"
"214066","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"214067","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"214068","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","English Language Arts","At State Expectations"
"214069","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"214070","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"214071","Lewiston Public Schools","Farwell Elementary School","Female","Sex","English Language Arts","At State Expectations"
"214072","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","English Language Arts","At State Expectations"
"214073","Lewiston Public Schools","Farwell Elementary School","Male","Sex","English Language Arts","At State Expectations"
"214074","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","English Language Arts","At State Expectations"
"214075","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","English Language Arts","At State Expectations"
"214076","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","English Language Arts","At State Expectations"
"214077","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","English Language Arts","Above State Expectations"
"214078","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"214079","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","English Language Arts","Above State Expectations"
"214080","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"214081","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"214082","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","English Language Arts","Above State Expectations"
"214083","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"214084","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"214085","Lewiston Public Schools","Farwell Elementary School","Female","Sex","English Language Arts","Above State Expectations"
"214086","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","English Language Arts","Above State Expectations"
"214087","Lewiston Public Schools","Farwell Elementary School","Male","Sex","English Language Arts","Above State Expectations"
"214088","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","English Language Arts","Above State Expectations"
"214213","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","English Language Arts","Above State Expectations"
"214214","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","English Language Arts","Above State Expectations"
"214215","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","English Language Arts","At or Above State Expectations"
"214216","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"214217","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","English Language Arts","At or Above State Expectations"
"214218","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"214219","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"214220","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","English Language Arts","At or Above State Expectations"
"214221","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"214222","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"214223","Lewiston Public Schools","Farwell Elementary School","Female","Sex","English Language Arts","At or Above State Expectations"
"214224","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","English Language Arts","At or Above State Expectations"
"214225","Lewiston Public Schools","Farwell Elementary School","Male","Sex","English Language Arts","At or Above State Expectations"
"214226","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","English Language Arts","At or Above State Expectations"
"214227","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","English Language Arts","At or Above State Expectations"
"214228","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","English Language Arts","At or Above State Expectations"
"214229","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","English Language Arts","Below or Well Below State Expectations"
"214230","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"214231","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","English Language Arts","Below or Well Below State Expectations"
"214232","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"214233","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"214234","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","English Language Arts","Below or Well Below State Expectations"
"214235","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"214236","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"214237","Lewiston Public Schools","Farwell Elementary School","Female","Sex","English Language Arts","Below or Well Below State Expectations"
"214238","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","English Language Arts","Below or Well Below State Expectations"
"214239","Lewiston Public Schools","Farwell Elementary School","Male","Sex","English Language Arts","Below or Well Below State Expectations"
"214362","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","English Language Arts","Below or Well Below State Expectations"
"214363","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","English Language Arts","Below or Well Below State Expectations"
"214364","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","English Language Arts","Below or Well Below State Expectations"
"214365","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Science","Well Below State Expectations"
"214366","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"214367","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Science","Well Below State Expectations"
"214368","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"214369","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"214370","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Science","Well Below State Expectations"
"214371","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"214372","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Science","Well Below State Expectations"
"214373","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Science","Well Below State Expectations"
"214374","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Science","Well Below State Expectations"
